"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.110987465E2,6.500586240E1,2.547435208E1,3.293215738E0,1.899999976E0,3.080000000E2,3.790092468E0,2.858314753E0
2.120989594E2,6.500587122E1,2.547431713E1,3.420590522E0,1.870000005E0,3.047000122E2,3.790092468E0,2.965129852E0
2.130990294E2,6.500587877E1,2.547427861E1,3.769706274E0,1.889999986E0,3.010000000E2,3.790092468E0,3.198500395E0
2.140988935E2,6.500588732E1,2.547424162E1,3.544236787E0,1.889999986E0,3.037000122E2,3.790092468E0,3.358735561E0
2.150989800E2,6.500589414E1,2.547420472E1,3.108807019E0,1.889999986E0,3.023999939E2,4.030181408E0,3.363925457E0
2.160989586E2,6.500590066E1,2.547417128E1,3.212073878E0,1.879999995E0,3.017999878E2,4.088674545E0,3.645336390E0
2.170992717E2,6.500590724E1,2.547414102E1,2.799532815E0,1.840000033E0,3.011000061E2,3.928456545E0,3.590467453E0
2.180991471E2,6.500591570E1,2.547411327E1,2.826261227E0,1.870000005E0,3.018999939E2,3.907550097E0,3.652690411E0
2.190991449E2,6.500592583E1,2.547408400E1,3.367942526E0,1.899999976E0,3.008999939E2,3.804506302E0,3.668958902E0
2.200991181E2,6.500593551E1,2.547405529E1,3.337907720E0,1.769999981E0,3.002000122E2,3.790092468E0,3.517515898E0
2.210994830E2,6.500594715E1,2.547402793E1,3.827037304E0,1.799999952E0,3.008999939E2,3.790092468E0,3.266273022E0
2.220987177E2,6.500596020E1,2.547400260E1,4.512516587E0,1.870000005E0,3.037000122E2,3.790092468E0,3.071027517E0
2.230988281E2,6.500597164E1,2.547397660E1,4.943052584E0,1.830000043E0,3.008999939E2,3.790092468E0,2.901670933E0
2.240991125E2,6.500598301E1,2.547394718E1,5.094779790E0,1.860000014E0,3.008999939E2,3.790092468E0,2.564339638E0
2.250991919E2,6.500599508E1,2.547391629E1,5.040329879E0,1.820000052E0,3.042000122E2,3.790092468E0,2.500000000E0
2.260994751E2,6.500600721E1,2.547388627E1,5.177408322E0,1.779999971E0,3.047000122E2,3.790092468E0,2.500000000E0
2.270984700E2,6.500602039E1,2.547386192E1,5.356600996E0,1.639999986E0,3.142000122E2,3.790092468E0,2.500000000E0
2.280991289E2,6.500603452E1,2.547385253E1,4.840909032E0,1.470000029E0,3.396000061E2,3.790092468E0,2.500000000E0
2.290994834E2,6.500605013E1,2.547386146E1,5.169089775E0,1.370000005E0,8.899999619E0,3.790092468E0,2.500000000E0
2.300986961E2,6.500606238E1,2.547388756E1,5.395954543E0,1.330000043E0,4.570000076E1,3.790092468E0,2.500000000E0
2.310990143E2,6.500606623E1,2.547392743E1,5.315511356E0,1.460000038E0,8.730000305E1,3.790092468E0,2.500000000E0
2.320989026E2,6.500606077E1,2.547396589E1,4.867151659E0,1.509999990E0,1.148000031E2,3.790092468E0,2.500000000E0
2.330988076E2,6.500605128E1,2.547400458E1,4.660187535E0,1.730000019E0,1.210000000E2,3.790092468E0,2.500000000E0
2.340986233E2,6.500604053E1,2.547404238E1,4.619178416E0,1.740000010E0,1.228000031E2,3.790092468E0,2.500000000E0
2.350986399E2,6.500603023E1,2.547408023E1,4.256635927E0,1.730000019E0,1.201999969E2,3.790092468E0,2.500000000E0
2.360995463E2,6.500602172E1,2.547411936E1,4.096607497E0,1.779999971E0,1.173000031E2,3.790092468E0,2.500000000E0
2.370988570E2,6.500601328E1,2.547415912E1,3.723749490E0,1.769999981E0,1.166999969E2,3.790092468E0,2.500000000E0
2.380987441E2,6.500600448E1,2.547419645E1,3.644897808E0,1.750000000E0,1.205000000E2,3.790092468E0,2.500000000E0
2.390989274E2,6.500599616E1,2.547423257E1,3.871587858E0,1.730000019E0,1.186999969E2,3.790092468E0,2.500000000E0
2.400992579E2,6.500598836E1,2.547426851E1,3.567454947E0,1.720000029E0,1.194000015E2,3.790092468E0,2.500000000E0
2.410993128E2,6.500597972E1,2.547430224E1,3.342423769E0,1.799999952E0,1.211999969E2,3.790092468E0,2.500000000E0
